,pref,pop_dens,pref_no
8802,Nagano,635 ,20
8803,Gifu,899 ,21
8804,Shizuoka,1325 ,22
8805,Aichi,2527 ,23
8806,Mie,865 ,24
8807,Shiga,1082 ,25
8808,Kyoto,2201 ,26
8809,Osaka,6620 ,27
8810,Hyogo,1964 ,28
8811,Nara,1555 ,29
8812,Iwate,330 ,3
8813,Wakayama,830 ,30
8814,Tottori,617 ,31
8815,Shimane,519 ,32
8816,Okayama,852 ,33
8817,Hiroshima,1213 ,34
8818,Yamaguchi,796 ,35
8819,Tokushima,721 ,36
8820,Kagawa,951 ,37
8821,Ehime,800 ,38
8822,Kochi,600 ,39
8823,Miyagi,731 ,4
8824,Fukuoka,1848 ,40
8825,Saga,610 ,41
8826,Nagasaki,792 ,42
8827,Kumamoto,625 ,43
8828,Oita,631 ,44
8829,Miyazaki,580 ,45
8830,Kagoshima,484 ,46
8831,Okinawa,1243 ,47
8832,Akita,302 ,5
8833,Yamagata,374 ,6
8834,Fukushima,438 ,7
8835,Ibaraki,719 ,8
8836,Tochigi,648 ,9
8837,Hokkaido,235 ,1
8838,Gunma,852 ,10
8839,Saitama,2844 ,11
8840,Chiba,1761 ,12
8841,Tokyo,9793 ,13
8842,Kanagawa,6253 ,14
8843,Niigata,490 ,15
8844,Toyama,567 ,16
8845,Ishikawa,818 ,17
8846,Fukui,713 ,18
8847,Yamanashi,850 ,19
8848,Aomori,386 ,2
8849,Nagano,635 ,20
8850,Gifu,899 ,21
8851,Shizuoka,1325 ,22
8852,Aichi,2527 ,23
8853,Mie,865 ,24
8854,Shiga,1082 ,25
8855,Kyoto,2201 ,26
8856,Osaka,6620 ,27
8857,Hyogo,1964 ,28
8858,Nara,1555 ,29
8859,Iwate,330 ,3
8860,Wakayama,830 ,30
8861,Tottori,617 ,31
8862,Shimane,519 ,32
8863,Okayama,852 ,33
8864,Hiroshima,1213 ,34
8865,Yamaguchi,796 ,35
8866,Tokushima,721 ,36
8867,Kagawa,951 ,37
8868,Ehime,800 ,38
8869,Kochi,600 ,39
8870,Miyagi,731 ,4
8871,Fukuoka,1848 ,40
8872,Saga,610 ,41
8873,Nagasaki,792 ,42
8874,Kumamoto,625 ,43
8875,Oita,631 ,44
8876,Miyazaki,580 ,45
8877,Kagoshima,484 ,46
8878,Okinawa,1243 ,47
8879,Akita,302 ,5
8880,Yamagata,374 ,6
8881,Fukushima,438 ,7
8882,Ibaraki,719 ,8
8883,Tochigi,648 ,9
8884,Hokkaido,235 ,1
8885,Gunma,852 ,10
8886,Saitama,2844 ,11
8887,Chiba,1761 ,12
8888,Tokyo,9793 ,13
8889,Kanagawa,6253 ,14
8890,Niigata,490 ,15
8891,Toyama,567 ,16
8892,Ishikawa,818 ,17
8893,Fukui,713 ,18
8894,Yamanashi,850 ,19
8895,Aomori,386 ,2
8896,Nagano,635 ,20
8897,Gifu,899 ,21
8898,Shizuoka,1325 ,22
8899,Aichi,2527 ,23
8900,Mie,865 ,24
8901,Shiga,1082 ,25
8902,Kyoto,2201 ,26
8903,Osaka,6620 ,27
8904,Hyogo,1964 ,28
8905,Nara,1555 ,29
8906,Iwate,330 ,3
8907,Wakayama,830 ,30
8908,Tottori,617 ,31
8909,Shimane,519 ,32
8910,Okayama,852 ,33
8911,Hiroshima,1213 ,34
8912,Yamaguchi,796 ,35
8913,Tokushima,721 ,36
8914,Kagawa,951 ,37
8915,Ehime,800 ,38
8916,Kochi,600 ,39
8917,Miyagi,731 ,4
8918,Fukuoka,1848 ,40
8919,Saga,610 ,41
8920,Nagasaki,792 ,42
8921,Kumamoto,625 ,43
8922,Oita,631 ,44
8923,Miyazaki,580 ,45
8924,Kagoshima,484 ,46
8925,Okinawa,1243 ,47
8926,Akita,302 ,5
8927,Yamagata,374 ,6
8928,Fukushima,438 ,7
8929,Ibaraki,719 ,8
8930,Tochigi,648 ,9
8931,Hokkaido,235 ,1
8932,Gunma,852 ,10
8933,Saitama,2844 ,11
8934,Chiba,1761 ,12
8935,Tokyo,9793 ,13
8936,Kanagawa,6253 ,14
8937,Niigata,490 ,15
8938,Toyama,567 ,16
8939,Ishikawa,818 ,17
8940,Fukui,713 ,18
8941,Yamanashi,850 ,19
8942,Aomori,386 ,2
8943,Nagano,635 ,20
8944,Gifu,899 ,21
8945,Shizuoka,1325 ,22
8946,Aichi,2527 ,23
8947,Mie,865 ,24
8948,Shiga,1082 ,25
8949,Kyoto,2201 ,26
8950,Osaka,6620 ,27
8951,Hyogo,1964 ,28
8952,Nara,1555 ,29
8953,Iwate,330 ,3
8954,Wakayama,830 ,30
8955,Tottori,617 ,31
8956,Shimane,519 ,32
8957,Okayama,852 ,33
8958,Hiroshima,1213 ,34
8959,Yamaguchi,796 ,35
8960,Tokushima,721 ,36
8961,Kagawa,951 ,37
8962,Ehime,800 ,38
8963,Kochi,600 ,39
8964,Miyagi,731 ,4
8965,Fukuoka,1848 ,40
8966,Saga,610 ,41
8967,Nagasaki,792 ,42
8968,Kumamoto,625 ,43
8969,Oita,631 ,44
8970,Miyazaki,580 ,45
8971,Kagoshima,484 ,46
8972,Okinawa,1243 ,47
8973,Akita,302 ,5
8974,Yamagata,374 ,6
8975,Fukushima,438 ,7
8976,Ibaraki,719 ,8
8977,Tochigi,648 ,9
8978,Hokkaido,235 ,1
8979,Gunma,852 ,10
8980,Saitama,2844 ,11
8981,Chiba,1761 ,12
8982,Tokyo,9793 ,13
8983,Kanagawa,6253 ,14
8984,Niigata,490 ,15
8985,Toyama,567 ,16
8986,Ishikawa,818 ,17
8987,Fukui,713 ,18
8988,Yamanashi,850 ,19
8989,Aomori,386 ,2
8990,Nagano,635 ,20
8991,Gifu,899 ,21
8992,Shizuoka,1325 ,22
8993,Aichi,2527 ,23
8994,Mie,865 ,24
8995,Shiga,1082 ,25
8996,Kyoto,2201 ,26
8997,Osaka,6620 ,27
8998,Hyogo,1964 ,28
8999,Nara,1555 ,29
9000,Iwate,330 ,3
9001,Wakayama,830 ,30
9002,Tottori,617 ,31
9003,Shimane,519 ,32
9004,Okayama,852 ,33
9005,Hiroshima,1213 ,34
9006,Yamaguchi,796 ,35
9007,Tokushima,721 ,36
9008,Kagawa,951 ,37
9009,Ehime,800 ,38
9010,Kochi,600 ,39
9011,Miyagi,731 ,4
9012,Fukuoka,1848 ,40
9013,Saga,610 ,41
9014,Nagasaki,792 ,42
9015,Kumamoto,625 ,43
9016,Oita,631 ,44
9017,Miyazaki,580 ,45
9018,Kagoshima,484 ,46
9019,Okinawa,1243 ,47
9020,Akita,302 ,5
9021,Yamagata,374 ,6
9022,Fukushima,438 ,7
9023,Ibaraki,719 ,8
9024,Tochigi,648 ,9
9025,Hokkaido,235 ,1
9026,Gunma,852 ,10
9027,Saitama,2844 ,11
9028,Chiba,1761 ,12
