,pref,pop_dens,pref_no
30863,Kagawa,951 ,37
30864,Ehime,800 ,38
30865,Kochi,600 ,39
30866,Miyagi,731 ,4
30867,Fukuoka,1848 ,40
30868,Saga,610 ,41
30869,Nagasaki,792 ,42
30870,Kumamoto,625 ,43
30871,Oita,631 ,44
30872,Miyazaki,580 ,45
30873,Kagoshima,484 ,46
30874,Okinawa,1243 ,47
30875,Akita,302 ,5
30876,Yamagata,374 ,6
30877,Fukushima,438 ,7
30878,Ibaraki,719 ,8
30879,Tochigi,648 ,9
30880,Hokkaido,235 ,1
30881,Gunma,852 ,10
30882,Saitama,2844 ,11
30883,Chiba,1761 ,12
30884,Tokyo,9793 ,13
30885,Kanagawa,6253 ,14
30886,Niigata,490 ,15
30887,Toyama,567 ,16
30888,Ishikawa,818 ,17
30889,Fukui,713 ,18
30890,Yamanashi,850 ,19
30891,Aomori,386 ,2
30892,Nagano,635 ,20
30893,Gifu,899 ,21
30894,Shizuoka,1325 ,22
30895,Aichi,2527 ,23
30896,Mie,865 ,24
30897,Shiga,1082 ,25
30898,Kyoto,2201 ,26
30899,Osaka,6620 ,27
30900,Hyogo,1964 ,28
30901,Nara,1555 ,29
30902,Iwate,330 ,3
30903,Wakayama,830 ,30
30904,Tottori,617 ,31
30905,Shimane,519 ,32
30906,Okayama,852 ,33
30907,Hiroshima,1213 ,34
30908,Yamaguchi,796 ,35
30909,Tokushima,721 ,36
30910,Kagawa,951 ,37
30911,Ehime,800 ,38
30912,Kochi,600 ,39
30913,Miyagi,731 ,4
30914,Fukuoka,1848 ,40
30915,Saga,610 ,41
30916,Nagasaki,792 ,42
30917,Kumamoto,625 ,43
30918,Oita,631 ,44
30919,Miyazaki,580 ,45
30920,Kagoshima,484 ,46
30921,Okinawa,1243 ,47
30922,Akita,302 ,5
30923,Yamagata,374 ,6
30924,Fukushima,438 ,7
30925,Ibaraki,719 ,8
30926,Tochigi,648 ,9
30927,Hokkaido,235 ,1
30928,Gunma,852 ,10
30929,Saitama,2844 ,11
30930,Chiba,1761 ,12
30931,Tokyo,9793 ,13
30932,Kanagawa,6253 ,14
30933,Niigata,490 ,15
30934,Toyama,567 ,16
30935,Ishikawa,818 ,17
30936,Fukui,713 ,18
30937,Yamanashi,850 ,19
30938,Aomori,386 ,2
30939,Nagano,635 ,20
30940,Gifu,899 ,21
30941,Shizuoka,1325 ,22
30942,Aichi,2527 ,23
30943,Mie,865 ,24
30944,Shiga,1082 ,25
30945,Kyoto,2201 ,26
30946,Osaka,6620 ,27
30947,Hyogo,1964 ,28
30948,Nara,1555 ,29
30949,Iwate,330 ,3
30950,Wakayama,830 ,30
30951,Tottori,617 ,31
30952,Shimane,519 ,32
30953,Okayama,852 ,33
30954,Hiroshima,1213 ,34
30955,Yamaguchi,796 ,35
30956,Tokushima,721 ,36
30957,Kagawa,951 ,37
30958,Ehime,800 ,38
30959,Kochi,600 ,39
30960,Miyagi,731 ,4
30961,Fukuoka,1848 ,40
30962,Saga,610 ,41
30963,Nagasaki,792 ,42
30964,Kumamoto,625 ,43
30965,Oita,631 ,44
30966,Miyazaki,580 ,45
30967,Kagoshima,484 ,46
30968,Okinawa,1243 ,47
30969,Akita,302 ,5
30970,Yamagata,374 ,6
30971,Fukushima,438 ,7
30972,Ibaraki,719 ,8
30973,Tochigi,648 ,9
30974,Hokkaido,235 ,1
30975,Gunma,852 ,10
30976,Saitama,2844 ,11
30977,Chiba,1761 ,12
30978,Tokyo,9793 ,13
30979,Kanagawa,6253 ,14
30980,Niigata,490 ,15
30981,Toyama,567 ,16
30982,Ishikawa,818 ,17
30983,Fukui,713 ,18
30984,Yamanashi,850 ,19
30985,Aomori,386 ,2
30986,Nagano,635 ,20
30987,Gifu,899 ,21
30988,Shizuoka,1325 ,22
30989,Aichi,2527 ,23
30990,Mie,865 ,24
30991,Shiga,1082 ,25
30992,Kyoto,2201 ,26
30993,Osaka,6620 ,27
30994,Hyogo,1964 ,28
30995,Nara,1555 ,29
30996,Iwate,330 ,3
30997,Wakayama,830 ,30
30998,Tottori,617 ,31
30999,Shimane,519 ,32
31000,Okayama,852 ,33
31001,Hiroshima,1213 ,34
31002,Yamaguchi,796 ,35
31003,Tokushima,721 ,36
31004,Kagawa,951 ,37
31005,Ehime,800 ,38
31006,Kochi,600 ,39
31007,Miyagi,731 ,4
31008,Fukuoka,1848 ,40
31009,Saga,610 ,41
31010,Nagasaki,792 ,42
31011,Kumamoto,625 ,43
31012,Oita,631 ,44
31013,Miyazaki,580 ,45
31014,Kagoshima,484 ,46
31015,Okinawa,1243 ,47
31016,Akita,302 ,5
31017,Yamagata,374 ,6
31018,Fukushima,438 ,7
31019,Ibaraki,719 ,8
31020,Tochigi,648 ,9
31021,Hokkaido,235 ,1
31022,Gunma,852 ,10
31023,Saitama,2844 ,11
31024,Chiba,1761 ,12
31025,Tokyo,9793 ,13
31026,Kanagawa,6253 ,14
31027,Niigata,490 ,15
31028,Toyama,567 ,16
31029,Ishikawa,818 ,17
31030,Fukui,713 ,18
31031,Yamanashi,850 ,19
31032,Aomori,386 ,2
31033,Nagano,635 ,20
31034,Gifu,899 ,21
31035,Shizuoka,1325 ,22
31036,Aichi,2527 ,23
31037,Mie,865 ,24
31038,Shiga,1082 ,25
31039,Kyoto,2201 ,26
31040,Osaka,6620 ,27
31041,Hyogo,1964 ,28
31042,Nara,1555 ,29
31043,Iwate,330 ,3
31044,Wakayama,830 ,30
31045,Tottori,617 ,31
31046,Shimane,519 ,32
31047,Okayama,852 ,33
31048,Hiroshima,1213 ,34
31049,Yamaguchi,796 ,35
31050,Tokushima,721 ,36
31051,Kagawa,951 ,37
31052,Ehime,800 ,38
31053,Kochi,600 ,39
31054,Miyagi,731 ,4
31055,Fukuoka,1848 ,40
31056,Saga,610 ,41
31057,Nagasaki,792 ,42
31058,Kumamoto,625 ,43
31059,Oita,631 ,44
31060,Miyazaki,580 ,45
31061,Kagoshima,484 ,46
31062,Okinawa,1243 ,47
31063,Akita,302 ,5
31064,Yamagata,374 ,6
31065,Fukushima,438 ,7
31066,Ibaraki,719 ,8
31067,Tochigi,648 ,9
31068,Hokkaido,235 ,1
31069,Gunma,852 ,10
31070,Saitama,2844 ,11
31071,Chiba,1761 ,12
31072,Tokyo,9793 ,13
31073,Kanagawa,6253 ,14
31074,Niigata,490 ,15
31075,Toyama,567 ,16
31076,Ishikawa,818 ,17
31077,Fukui,713 ,18
31078,Yamanashi,850 ,19
31079,Aomori,386 ,2
31080,Nagano,635 ,20
31081,Gifu,899 ,21
31082,Shizuoka,1325 ,22
31083,Aichi,2527 ,23
31084,Mie,865 ,24
31085,Shiga,1082 ,25
31086,Kyoto,2201 ,26
31087,Osaka,6620 ,27
31088,Hyogo,1964 ,28
31089,Nara,1555 ,29
31090,Iwate,330 ,3
31091,Wakayama,830 ,30
31092,Tottori,617 ,31
31093,Shimane,519 ,32
31094,Okayama,852 ,33
31095,Hiroshima,1213 ,34
31096,Yamaguchi,796 ,35
31097,Tokushima,721 ,36
31098,Kagawa,951 ,37
31099,Ehime,800 ,38
31100,Kochi,600 ,39
31101,Miyagi,731 ,4
31102,Fukuoka,1848 ,40
31103,Saga,610 ,41
31104,Nagasaki,792 ,42
31105,Kumamoto,625 ,43
31106,Oita,631 ,44
31107,Miyazaki,580 ,45
31108,Kagoshima,484 ,46
31109,Okinawa,1243 ,47
31110,Akita,302 ,5
31111,Yamagata,374 ,6
31112,Fukushima,438 ,7
31113,Ibaraki,719 ,8
31114,Tochigi,648 ,9
31115,Hokkaido,235 ,1
31116,Gunma,852 ,10
31117,Saitama,2844 ,11
31118,Chiba,1761 ,12
31119,Tokyo,9793 ,13
31120,Kanagawa,6253 ,14
31121,Niigata,490 ,15
31122,Toyama,567 ,16
31123,Ishikawa,818 ,17
31124,Fukui,713 ,18
31125,Yamanashi,850 ,19
31126,Aomori,386 ,2
31127,Nagano,635 ,20
31128,Gifu,899 ,21
31129,Shizuoka,1325 ,22
31130,Aichi,2527 ,23
31131,Mie,865 ,24
31132,Shiga,1082 ,25
31133,Kyoto,2201 ,26
31134,Osaka,6620 ,27
31135,Hyogo,1964 ,28
31136,Nara,1555 ,29
31137,Iwate,330 ,3
31138,Wakayama,830 ,30
31139,Tottori,617 ,31
31140,Shimane,519 ,32
31141,Okayama,852 ,33
31142,Hiroshima,1213 ,34
31143,Yamaguchi,796 ,35
31144,Tokushima,721 ,36
31145,Kagawa,951 ,37
31146,Ehime,800 ,38
31147,Kochi,600 ,39
31148,Miyagi,731 ,4
31149,Fukuoka,1848 ,40
31150,Saga,610 ,41
31151,Nagasaki,792 ,42
31152,Kumamoto,625 ,43
31153,Oita,631 ,44
31154,Miyazaki,580 ,45
31155,Kagoshima,484 ,46
31156,Okinawa,1243 ,47
31157,Akita,302 ,5
31158,Yamagata,374 ,6
31159,Fukushima,438 ,7
31160,Ibaraki,719 ,8
31161,Tochigi,648 ,9
31162,Hokkaido,235 ,1
31163,Gunma,852 ,10
31164,Saitama,2844 ,11
31165,Chiba,1761 ,12
31166,Tokyo,9793 ,13
31167,Kanagawa,6253 ,14
31168,Niigata,490 ,15
31169,Toyama,567 ,16
31170,Ishikawa,818 ,17
31171,Fukui,713 ,18
31172,Yamanashi,850 ,19
31173,Aomori,386 ,2
31174,Nagano,635 ,20
31175,Gifu,899 ,21
31176,Shizuoka,1325 ,22
31177,Aichi,2527 ,23
31178,Mie,865 ,24
31179,Shiga,1082 ,25
31180,Kyoto,2201 ,26
31181,Osaka,6620 ,27
31182,Hyogo,1964 ,28
31183,Nara,1555 ,29
31184,Iwate,330 ,3
31185,Wakayama,830 ,30
31186,Tottori,617 ,31
31187,Shimane,519 ,32
31188,Okayama,852 ,33
31189,Hiroshima,1213 ,34
31190,Yamaguchi,796 ,35
31191,Tokushima,721 ,36
31192,Kagawa,951 ,37
31193,Ehime,800 ,38
31194,Kochi,600 ,39
31195,Miyagi,731 ,4
31196,Fukuoka,1848 ,40
31197,Saga,610 ,41
31198,Nagasaki,792 ,42
31199,Kumamoto,625 ,43
31200,Oita,631 ,44
31201,Miyazaki,580 ,45
31202,Kagoshima,484 ,46
31203,Okinawa,1243 ,47
31204,Akita,302 ,5
31205,Yamagata,374 ,6
31206,Fukushima,438 ,7
31207,Ibaraki,719 ,8
31208,Tochigi,648 ,9
31209,Hokkaido,235 ,1
31210,Gunma,852 ,10
31211,Saitama,2844 ,11
31212,Chiba,1761 ,12
31213,Tokyo,9793 ,13
31214,Kanagawa,6253 ,14
31215,Niigata,490 ,15
31216,Toyama,567 ,16
31217,Ishikawa,818 ,17
31218,Fukui,713 ,18
31219,Yamanashi,850 ,19
31220,Aomori,386 ,2
31221,Nagano,635 ,20
31222,Gifu,899 ,21
31223,Shizuoka,1325 ,22
31224,Aichi,2527 ,23
31225,Mie,865 ,24
31226,Shiga,1082 ,25
31227,Kyoto,2201 ,26
31228,Osaka,6620 ,27
31229,Hyogo,1964 ,28
31230,Nara,1555 ,29
31231,Iwate,330 ,3
31232,Wakayama,830 ,30
31233,Tottori,617 ,31
31234,Shimane,519 ,32
31235,Okayama,852 ,33
31236,Hiroshima,1213 ,34
31237,Yamaguchi,796 ,35
31238,Tokushima,721 ,36
31239,Kagawa,951 ,37
31240,Ehime,800 ,38
31241,Kochi,600 ,39
31242,Miyagi,731 ,4
31243,Fukuoka,1848 ,40
31244,Saga,610 ,41
31245,Nagasaki,792 ,42
31246,Kumamoto,625 ,43
31247,Oita,631 ,44
31248,Miyazaki,580 ,45
31249,Kagoshima,484 ,46
31250,Okinawa,1243 ,47
31251,Akita,302 ,5
31252,Yamagata,374 ,6
31253,Fukushima,438 ,7
31254,Ibaraki,719 ,8
31255,Tochigi,648 ,9
31256,Hokkaido,235 ,1
31257,Gunma,852 ,10
31258,Saitama,2844 ,11
31259,Chiba,1761 ,12
31260,Tokyo,9793 ,13
31261,Kanagawa,6253 ,14
31262,Niigata,490 ,15
31263,Toyama,567 ,16
31264,Ishikawa,818 ,17
31265,Fukui,713 ,18
31266,Yamanashi,850 ,19
31267,Aomori,386 ,2
31268,Nagano,635 ,20
31269,Gifu,899 ,21
31270,Shizuoka,1325 ,22
31271,Aichi,2527 ,23
31272,Mie,865 ,24
31273,Shiga,1082 ,25
31274,Kyoto,2201 ,26
31275,Osaka,6620 ,27
31276,Hyogo,1964 ,28
31277,Nara,1555 ,29
31278,Iwate,330 ,3
31279,Wakayama,830 ,30
31280,Tottori,617 ,31
31281,Shimane,519 ,32
31282,Okayama,852 ,33
31283,Hiroshima,1213 ,34
31284,Yamaguchi,796 ,35
31285,Tokushima,721 ,36
31286,Kagawa,951 ,37
31287,Ehime,800 ,38
31288,Kochi,600 ,39
31289,Miyagi,731 ,4
31290,Fukuoka,1848 ,40
31291,Saga,610 ,41
31292,Nagasaki,792 ,42
31293,Kumamoto,625 ,43
31294,Oita,631 ,44
31295,Miyazaki,580 ,45
31296,Kagoshima,484 ,46
31297,Okinawa,1243 ,47
31298,Akita,302 ,5
31299,Yamagata,374 ,6
31300,Fukushima,438 ,7
31301,Ibaraki,719 ,8
31302,Tochigi,648 ,9
31303,Hokkaido,235 ,1
31304,Gunma,852 ,10
31305,Saitama,2844 ,11
31306,Chiba,1761 ,12
31307,Tokyo,9793 ,13
31308,Kanagawa,6253 ,14
31309,Niigata,490 ,15
31310,Toyama,567 ,16
31311,Ishikawa,818 ,17
31312,Fukui,713 ,18
31313,Yamanashi,850 ,19
31314,Aomori,386 ,2
31315,Nagano,635 ,20
31316,Gifu,899 ,21
31317,Shizuoka,1325 ,22
31318,Aichi,2527 ,23
31319,Mie,865 ,24
31320,Shiga,1082 ,25
31321,Kyoto,2201 ,26
31322,Osaka,6620 ,27
31323,Hyogo,1964 ,28
31324,Nara,1555 ,29
31325,Iwate,330 ,3
31326,Wakayama,830 ,30
31327,Tottori,617 ,31
31328,Shimane,519 ,32
31329,Okayama,852 ,33
31330,Hiroshima,1213 ,34
31331,Yamaguchi,796 ,35
31332,Tokushima,721 ,36
31333,Kagawa,951 ,37
31334,Ehime,800 ,38
31335,Kochi,600 ,39
31336,Miyagi,731 ,4
31337,Fukuoka,1848 ,40
31338,Saga,610 ,41
31339,Nagasaki,792 ,42
31340,Kumamoto,625 ,43
31341,Oita,631 ,44
31342,Miyazaki,580 ,45
31343,Kagoshima,484 ,46
31344,Okinawa,1243 ,47
31345,Akita,302 ,5
31346,Yamagata,374 ,6
31347,Fukushima,438 ,7
31348,Ibaraki,719 ,8
31349,Tochigi,648 ,9
31350,Hokkaido,235 ,1
31351,Gunma,852 ,10
31352,Saitama,2844 ,11
31353,Chiba,1761 ,12
31354,Tokyo,9793 ,13
31355,Kanagawa,6253 ,14
31356,Niigata,490 ,15
31357,Toyama,567 ,16
31358,Ishikawa,818 ,17
31359,Fukui,713 ,18
31360,Yamanashi,850 ,19
31361,Aomori,386 ,2
31362,Nagano,635 ,20
31363,Gifu,899 ,21
31364,Shizuoka,1325 ,22
31365,Aichi,2527 ,23
31366,Mie,865 ,24
31367,Shiga,1082 ,25
31368,Kyoto,2201 ,26
31369,Osaka,6620 ,27
31370,Hyogo,1964 ,28
31371,Nara,1555 ,29
31372,Iwate,330 ,3
31373,Wakayama,830 ,30
31374,Tottori,617 ,31
31375,Shimane,519 ,32
31376,Okayama,852 ,33
31377,Hiroshima,1213 ,34
31378,Yamaguchi,796 ,35
31379,Tokushima,721 ,36
31380,Kagawa,951 ,37
31381,Ehime,800 ,38
31382,Kochi,600 ,39
31383,Miyagi,731 ,4
31384,Fukuoka,1848 ,40
31385,Saga,610 ,41
31386,Nagasaki,792 ,42
31387,Kumamoto,625 ,43
31388,Oita,631 ,44
31389,Miyazaki,580 ,45
31390,Kagoshima,484 ,46
31391,Okinawa,1243 ,47
31392,Akita,302 ,5
31393,Yamagata,374 ,6
31394,Fukushima,438 ,7
31395,Ibaraki,719 ,8
31396,Tochigi,648 ,9
31397,Hokkaido,235 ,1
31398,Gunma,852 ,10
31399,Saitama,2844 ,11
31400,Chiba,1761 ,12
31401,Tokyo,9793 ,13
31402,Kanagawa,6253 ,14
31403,Niigata,490 ,15
31404,Toyama,567 ,16
31405,Ishikawa,818 ,17
31406,Fukui,713 ,18
31407,Yamanashi,850 ,19
31408,Aomori,386 ,2
31409,Nagano,635 ,20
31410,Gifu,899 ,21
31411,Shizuoka,1325 ,22
31412,Aichi,2527 ,23
31413,Mie,865 ,24
31414,Shiga,1082 ,25
31415,Kyoto,2201 ,26
31416,Osaka,6620 ,27
31417,Hyogo,1964 ,28
31418,Nara,1555 ,29
31419,Iwate,330 ,3
31420,Wakayama,830 ,30
31421,Tottori,617 ,31
31422,Shimane,519 ,32
31423,Okayama,852 ,33
31424,Hiroshima,1213 ,34
31425,Yamaguchi,796 ,35
31426,Tokushima,721 ,36
31427,Kagawa,951 ,37
31428,Ehime,800 ,38
31429,Kochi,600 ,39
31430,Miyagi,731 ,4
31431,Fukuoka,1848 ,40
31432,Saga,610 ,41
31433,Nagasaki,792 ,42
31434,Kumamoto,625 ,43
31435,Oita,631 ,44
31436,Miyazaki,580 ,45
31437,Kagoshima,484 ,46
31438,Okinawa,1243 ,47
31439,Akita,302 ,5
31440,Yamagata,374 ,6
31441,Fukushima,438 ,7
31442,Ibaraki,719 ,8
31443,Tochigi,648 ,9
31444,Hokkaido,235 ,1
31445,Gunma,852 ,10
31446,Saitama,2844 ,11
31447,Chiba,1761 ,12
31448,Tokyo,9793 ,13
31449,Kanagawa,6253 ,14
31450,Niigata,490 ,15
31451,Toyama,567 ,16
31452,Ishikawa,818 ,17
31453,Fukui,713 ,18
31454,Yamanashi,850 ,19
31455,Aomori,386 ,2
31456,Nagano,635 ,20
31457,Gifu,899 ,21
31458,Shizuoka,1325 ,22
31459,Aichi,2527 ,23
31460,Mie,865 ,24
31461,Shiga,1082 ,25
31462,Kyoto,2201 ,26
31463,Osaka,6620 ,27
31464,Hyogo,1964 ,28
31465,Nara,1555 ,29
31466,Iwate,330 ,3
31467,Wakayama,830 ,30
31468,Tottori,617 ,31
31469,Shimane,519 ,32
31470,Okayama,852 ,33
31471,Hiroshima,1213 ,34
31472,Yamaguchi,796 ,35
31473,Tokushima,721 ,36
31474,Kagawa,951 ,37
31475,Ehime,800 ,38
31476,Kochi,600 ,39
31477,Miyagi,731 ,4
31478,Fukuoka,1848 ,40
31479,Saga,610 ,41
31480,Nagasaki,792 ,42
31481,Kumamoto,625 ,43
31482,Oita,631 ,44
31483,Miyazaki,580 ,45
31484,Kagoshima,484 ,46
31485,Okinawa,1243 ,47
31486,Akita,302 ,5
31487,Yamagata,374 ,6
31488,Fukushima,438 ,7
31489,Ibaraki,719 ,8
31490,Tochigi,648 ,9
31491,Hokkaido,235 ,1
31492,Gunma,852 ,10
31493,Saitama,2844 ,11
31494,Chiba,1761 ,12
31495,Tokyo,9793 ,13
31496,Kanagawa,6253 ,14
31497,Niigata,490 ,15
31498,Toyama,567 ,16
31499,Ishikawa,818 ,17
31500,Fukui,713 ,18
31501,Yamanashi,850 ,19
31502,Aomori,386 ,2
31503,Nagano,635 ,20
31504,Gifu,899 ,21
31505,Shizuoka,1325 ,22
31506,Aichi,2527 ,23
31507,Mie,865 ,24
31508,Shiga,1082 ,25
31509,Kyoto,2201 ,26
31510,Osaka,6620 ,27
31511,Hyogo,1964 ,28
31512,Nara,1555 ,29
31513,Iwate,330 ,3
31514,Wakayama,830 ,30
31515,Tottori,617 ,31
31516,Shimane,519 ,32
31517,Okayama,852 ,33
31518,Hiroshima,1213 ,34
31519,Yamaguchi,796 ,35
31520,Tokushima,721 ,36
31521,Kagawa,951 ,37
31522,Ehime,800 ,38
31523,Kochi,600 ,39
31524,Miyagi,731 ,4
31525,Fukuoka,1848 ,40
31526,Saga,610 ,41
31527,Nagasaki,792 ,42
31528,Kumamoto,625 ,43
31529,Oita,631 ,44
31530,Miyazaki,580 ,45
31531,Kagoshima,484 ,46
31532,Okinawa,1243 ,47
31533,Akita,302 ,5
31534,Yamagata,374 ,6
31535,Fukushima,438 ,7
31536,Ibaraki,719 ,8
31537,Tochigi,648 ,9
31538,Hokkaido,235 ,1
31539,Gunma,852 ,10
31540,Saitama,2844 ,11
31541,Chiba,1761 ,12
31542,Tokyo,9793 ,13
31543,Kanagawa,6253 ,14
31544,Niigata,490 ,15
31545,Toyama,567 ,16
31546,Ishikawa,818 ,17
31547,Fukui,713 ,18
31548,Yamanashi,850 ,19
31549,Aomori,386 ,2
31550,Nagano,635 ,20
31551,Gifu,899 ,21
31552,Shizuoka,1325 ,22
31553,Aichi,2527 ,23
31554,Mie,865 ,24
31555,Shiga,1082 ,25
31556,Kyoto,2201 ,26
31557,Osaka,6620 ,27
31558,Hyogo,1964 ,28
31559,Nara,1555 ,29
31560,Iwate,330 ,3
31561,Wakayama,830 ,30
31562,Tottori,617 ,31
31563,Shimane,519 ,32
31564,Okayama,852 ,33
31565,Hiroshima,1213 ,34
31566,Yamaguchi,796 ,35
31567,Tokushima,721 ,36
31568,Kagawa,951 ,37
31569,Ehime,800 ,38
31570,Kochi,600 ,39
31571,Miyagi,731 ,4
31572,Fukuoka,1848 ,40
31573,Saga,610 ,41
31574,Nagasaki,792 ,42
31575,Kumamoto,625 ,43
31576,Oita,631 ,44
31577,Miyazaki,580 ,45
31578,Kagoshima,484 ,46
31579,Okinawa,1243 ,47
31580,Akita,302 ,5
31581,Yamagata,374 ,6
31582,Fukushima,438 ,7
31583,Ibaraki,719 ,8
31584,Tochigi,648 ,9
31585,Hokkaido,235 ,1
31586,Gunma,852 ,10
31587,Saitama,2844 ,11
31588,Chiba,1761 ,12
31589,Tokyo,9793 ,13
31590,Kanagawa,6253 ,14
31591,Niigata,490 ,15
31592,Toyama,567 ,16
31593,Ishikawa,818 ,17
31594,Fukui,713 ,18
31595,Yamanashi,850 ,19
31596,Aomori,386 ,2
31597,Nagano,635 ,20
31598,Gifu,899 ,21
31599,Shizuoka,1325 ,22
31600,Aichi,2527 ,23
31601,Mie,865 ,24
31602,Shiga,1082 ,25
31603,Kyoto,2201 ,26
31604,Osaka,6620 ,27
31605,Hyogo,1964 ,28
31606,Nara,1555 ,29
31607,Iwate,330 ,3
31608,Wakayama,830 ,30
31609,Tottori,617 ,31
31610,Shimane,519 ,32
31611,Okayama,852 ,33
31612,Hiroshima,1213 ,34
31613,Yamaguchi,796 ,35
31614,Tokushima,721 ,36
31615,Kagawa,951 ,37
31616,Ehime,800 ,38
31617,Kochi,600 ,39
31618,Miyagi,731 ,4
31619,Fukuoka,1848 ,40
31620,Saga,610 ,41
31621,Nagasaki,792 ,42
31622,Kumamoto,625 ,43
31623,Oita,631 ,44
31624,Miyazaki,580 ,45
31625,Kagoshima,484 ,46
31626,Okinawa,1243 ,47
31627,Akita,302 ,5
31628,Yamagata,374 ,6
31629,Fukushima,438 ,7
31630,Ibaraki,719 ,8
31631,Tochigi,648 ,9
31632,Hokkaido,235 ,1
31633,Gunma,852 ,10
31634,Saitama,2844 ,11
31635,Chiba,1761 ,12
31636,Tokyo,9793 ,13
31637,Kanagawa,6253 ,14
31638,Niigata,490 ,15
31639,Toyama,567 ,16
31640,Ishikawa,818 ,17
31641,Fukui,713 ,18
31642,Yamanashi,850 ,19
31643,Aomori,386 ,2
31644,Nagano,635 ,20
31645,Gifu,899 ,21
31646,Shizuoka,1325 ,22
31647,Aichi,2527 ,23
31648,Mie,865 ,24
31649,Shiga,1082 ,25
31650,Kyoto,2201 ,26
31651,Osaka,6620 ,27
31652,Hyogo,1964 ,28
31653,Nara,1555 ,29
31654,Iwate,330 ,3
31655,Wakayama,830 ,30
31656,Tottori,617 ,31
31657,Shimane,519 ,32
31658,Okayama,852 ,33
31659,Hiroshima,1213 ,34
31660,Yamaguchi,796 ,35
31661,Tokushima,721 ,36
31662,Kagawa,951 ,37
31663,Ehime,800 ,38
31664,Kochi,600 ,39
31665,Miyagi,731 ,4
31666,Fukuoka,1848 ,40
31667,Saga,610 ,41
31668,Nagasaki,792 ,42
31669,Kumamoto,625 ,43
31670,Oita,631 ,44
31671,Miyazaki,580 ,45
31672,Kagoshima,484 ,46
31673,Okinawa,1243 ,47
31674,Akita,302 ,5
31675,Yamagata,374 ,6
31676,Fukushima,438 ,7
31677,Ibaraki,719 ,8
31678,Tochigi,648 ,9
31679,Hokkaido,235 ,1
31680,Gunma,852 ,10
31681,Saitama,2844 ,11
31682,Chiba,1761 ,12
31683,Tokyo,9793 ,13
31684,Kanagawa,6253 ,14
31685,Niigata,490 ,15
31686,Toyama,567 ,16
31687,Ishikawa,818 ,17
31688,Fukui,713 ,18
31689,Yamanashi,850 ,19
31690,Aomori,386 ,2
31691,Nagano,635 ,20
31692,Gifu,899 ,21
31693,Shizuoka,1325 ,22
31694,Aichi,2527 ,23
31695,Mie,865 ,24
31696,Shiga,1082 ,25
31697,Kyoto,2201 ,26
31698,Osaka,6620 ,27
31699,Hyogo,1964 ,28
31700,Nara,1555 ,29
31701,Iwate,330 ,3
31702,Wakayama,830 ,30
31703,Tottori,617 ,31
31704,Shimane,519 ,32
31705,Okayama,852 ,33
31706,Hiroshima,1213 ,34
31707,Yamaguchi,796 ,35
31708,Tokushima,721 ,36
31709,Kagawa,951 ,37
31710,Ehime,800 ,38
31711,Kochi,600 ,39
31712,Miyagi,731 ,4
31713,Fukuoka,1848 ,40
31714,Saga,610 ,41
31715,Nagasaki,792 ,42
31716,Kumamoto,625 ,43
31717,Oita,631 ,44
31718,Miyazaki,580 ,45
31719,Kagoshima,484 ,46
31720,Okinawa,1243 ,47
31721,Akita,302 ,5
31722,Yamagata,374 ,6
31723,Fukushima,438 ,7
31724,Ibaraki,719 ,8
31725,Tochigi,648 ,9
31726,Hokkaido,235 ,1
31727,Gunma,852 ,10
31728,Saitama,2844 ,11
31729,Chiba,1761 ,12
31730,Tokyo,9793 ,13
31731,Kanagawa,6253 ,14
31732,Niigata,490 ,15
31733,Toyama,567 ,16
31734,Ishikawa,818 ,17
31735,Fukui,713 ,18
31736,Yamanashi,850 ,19
31737,Aomori,386 ,2
31738,Nagano,635 ,20
31739,Gifu,899 ,21
31740,Shizuoka,1325 ,22
31741,Aichi,2527 ,23
31742,Mie,865 ,24
31743,Shiga,1082 ,25
31744,Kyoto,2201 ,26
31745,Osaka,6620 ,27
31746,Hyogo,1964 ,28
31747,Nara,1555 ,29
31748,Iwate,330 ,3
31749,Wakayama,830 ,30
31750,Tottori,617 ,31
31751,Shimane,519 ,32
31752,Okayama,852 ,33
31753,Hiroshima,1213 ,34
31754,Yamaguchi,796 ,35
31755,Tokushima,721 ,36
31756,Kagawa,951 ,37
31757,Ehime,800 ,38
31758,Kochi,600 ,39
31759,Miyagi,731 ,4
31760,Fukuoka,1848 ,40
31761,Saga,610 ,41
31762,Nagasaki,792 ,42
31763,Kumamoto,625 ,43
31764,Oita,631 ,44
31765,Miyazaki,580 ,45
31766,Kagoshima,484 ,46
31767,Okinawa,1243 ,47
31768,Akita,302 ,5
31769,Yamagata,374 ,6
31770,Fukushima,438 ,7
31771,Ibaraki,719 ,8
31772,Tochigi,648 ,9
31773,Hokkaido,235 ,1
31774,Gunma,852 ,10
31775,Saitama,2844 ,11
31776,Chiba,1761 ,12
31777,Tokyo,9793 ,13
31778,Kanagawa,6253 ,14
31779,Niigata,490 ,15
31780,Toyama,567 ,16
31781,Ishikawa,818 ,17
31782,Fukui,713 ,18
31783,Yamanashi,850 ,19
31784,Aomori,386 ,2
31785,Nagano,635 ,20
31786,Gifu,899 ,21
31787,Shizuoka,1325 ,22
31788,Aichi,2527 ,23
31789,Mie,865 ,24
31790,Shiga,1082 ,25
31791,Kyoto,2201 ,26
31792,Osaka,6620 ,27
31793,Hyogo,1964 ,28
31794,Nara,1555 ,29
