pref,pref_no,peak_1,end_1,start_2,peak_2,end_2,start_3,peak_3,end_3,start_4,peak_4,end_4,start_5,peak_5,end_5,start_6,peak_6,
Hyogo,28,2020/4/13,2020/5/23,2020/5/24,2020/8/8,2020/9/8,2020/9/9,2021/1/11,2021/2/28,2021/3/1,2021/4/28,2021/6/29,2021/6/30,2021/8/28,2021/12/17,2021/12/18,2022/2/10,
Nara,29,2020/4/21,2020/5/16,2020/5/17,2020/8/22,2020/9/13,2020/9/14,2021/1/21,2021/2/28,2021/3/1,2021/4/25,2021/7/7,2021/7/8,2021/9/1,2021/11/26,2021/11/27,2022/2/20,
Wakayama,30,2020/4/9,2020/5/19,2020/5/20,2020/8/1,2020/9/18,2020/9/19,2021/1/20,2021/2/26,2021/2/27,2021/4/23,2021/6/19,2021/6/20,2021/8/25,2021/11/22,2021/11/23,2022/2/8,
Tottori,31,2020/4/18,2020/5/14,2020/5/15,2020/8/2,2020/9/25,2020/9/26,2021/1/8,2021/2/13,2021/2/14,2021/4/3,2021/6/8,2021/6/9,2021/8/5,2021/11/5,2021/11/6,2022/2/27,
Shimane,32,2020/4/15,2020/5/14,2020/5/15,2020/8/12,2020/9/1,2020/9/2,2021/2/1,2021/3/3,2021/3/4,2021/5/20,2021/6/22,2021/6/23,2021/8/30,2021/11/14,2021/11/15,2022/1/23,
Okayama,33,2020/4/8,2020/5/18,2020/5/19,2020/7/30,2020/9/10,2020/9/11,2021/1/11,2021/2/25,2021/2/26,2021/5/16,2021/6/29,2021/6/30,2021/8/23,2021/12/21,2021/12/22,2022/2/6,
Hiroshima,34,2020/4/17,2020/5/29,2020/5/30,2020/8/3,2020/9/6,2020/9/7,2020/12/26,2021/3/16,2021/3/17,2021/5/21,2021/7/2,2021/7/3,2021/8/25,2021/12/7,2021/12/8,2022/1/26,
Yamaguchi,35,2020/4/16,2020/5/14,2020/5/15,2020/8/31,2020/9/24,2020/9/25,2021/1/24,2021/3/15,2021/3/16,2021/5/15,2021/7/15,2021/7/16,2021/8/24,2021/11/27,2021/11/28,2022/1/30,
Tokushima,36,2020/3/31,2020/5/14,2020/5/15,2020/8/18,2020/9/19,2020/9/20,2021/1/23,2021/3/19,2021/3/20,2021/4/25,2021/7/1,2021/7/2,2021/8/30,2021/11/8,2021/11/9,2022/3/4,
Kagawa,37,2020/4/18,2020/5/14,2020/5/15,2020/7/18,2020/9/24,2020/9/25,2021/1/11,2021/3/3,2021/3/4,2021/5/13,2021/6/24,2021/6/25,2021/8/25,2021/11/2,2021/11/3,2022/2/23,
Ehime,38,2020/5/19,2020/6/4,2020/6/5,2020/8/3,2020/8/30,2020/8/31,2021/1/12,2021/3/8,2021/3/9,2021/4/21,2021/7/9,2021/7/10,2021/8/22,2021/11/21,2021/11/22,2022/2/3,
Kochi,39,2020/4/10,2020/5/14,2020/5/15,2020/8/21,2020/9/18,2020/9/19,2020/12/17,2021/2/25,2021/2/26,2021/5/31,2021/6/14,2021/6/15,2021/8/27,2021/11/9,2021/11/10,2022/2/15,
Fukuoka,40,2020/4/15,2020/5/21,2020/5/22,2020/8/6,2020/9/27,2020/9/28,2021/1/20,2021/3/30,2021/3/31,2021/5/15,2021/7/3,2021/7/4,2021/8/24,2021/12/20,2021/12/21,2022/2/8,
Saga,41,2020/4/29,2020/5/23,2020/5/24,2020/8/9,2020/9/18,2020/9/19,2021/1/18,2021/2/18,2021/2/19,2021/5/12,2021/6/18,2021/6/19,2021/8/23,2021/11/24,2021/11/25,2022/2/8,
Nagasaki,42,2020/4/5,2020/5/14,2020/5/15,2020/8/5,2020/9/10,2020/9/11,2021/1/9,2021/3/7,2021/3/8,2021/5/10,2021/7/12,2021/7/13,2021/8/23,2021/11/12,2021/11/13,2022/2/2,
Kumamoto,43,2020/4/19,2020/5/15,2020/5/16,2020/8/5,2020/9/22,2020/9/23,2021/1/14,2021/2/27,2021/2/28,2021/5/15,2021/7/11,2021/7/12,2021/8/23,2021/11/12,2021/11/13,2022/2/2,
Oita,44,2020/3/25,2020/5/14,2020/5/15,2020/8/21,2020/9/16,2020/9/17,2021/1/26,2021/3/12,2021/3/13,2021/5/14,2021/7/2,2021/7/3,2021/8/25,2021/10/31,2021/11/1,2022/2/4,
Miyazaki,45,2020/4/8,2020/5/14,2020/5/15,2020/8/2,2020/9/22,2020/9/23,2021/1/10,2021/3/9,2021/3/10,2021/5/13,2021/7/10,2021/7/11,2021/8/27,2021/10/27,2021/10/28,2022/2/1,
Kagoshima,46,2020/4/20,2020/5/14,2020/5/15,2020/7/8,2020/10/23,2020/10/24,2021/1/9,2021/3/9,2021/3/10,2021/5/13,2021/6/25,2021/6/26,2021/8/22,2021/11/9,2021/11/10,2022/2/7,
Okinawa,47,2020/4/18,2020/5/14,2020/5/15,2020/8/10,2020/9/17,2020/9/18,2021/1/22,2021/2/25,2021/2/26,2021/5/31,2021/7/11,2021/7/12,2021/8/20,2021/11/21,2021/11/22,2022/1/18,
