date_case,pref_no,pref,newcases,cumcases,death,cumdeath
2020/3/25,20,’·–ìŒ§,0,5,0,0
2020/3/26,20,’·–ìŒ§,0,5,0,0
2020/3/27,20,’·–ìŒ§,1,6,0,0
2020/3/28,20,’·–ìŒ§,0,6,0,0
2020/3/29,20,’·–ìŒ§,2,8,0,0
2020/3/30,20,’·–ìŒ§,0,8,0,0
2020/3/31,20,’·–ìŒ§,0,8,0,0
2020/4/1,20,’·–ìŒ§,1,9,0,0
2020/4/2,20,’·–ìŒ§,0,9,0,0
2020/4/3,20,’·–ìŒ§,1,10,0,0
2020/4/4,20,’·–ìŒ§,1,11,0,0
2020/4/5,20,’·–ìŒ§,1,12,0,0
2020/4/6,20,’·–ìŒ§,2,14,0,0
2020/4/7,20,’·–ìŒ§,0,14,0,0
2020/4/8,20,’·–ìŒ§,5,19,0,0
2020/4/9,20,’·–ìŒ§,2,21,0,0
2020/4/10,20,’·–ìŒ§,7,28,0,0
2020/4/11,20,’·–ìŒ§,0,28,0,0
2020/4/12,20,’·–ìŒ§,1,29,0,0
2020/4/13,20,’·–ìŒ§,7,36,0,0
2020/4/14,20,’·–ìŒ§,1,37,0,0
2020/4/15,20,’·–ìŒ§,2,39,0,0
2020/4/16,20,’·–ìŒ§,6,45,0,0
2020/4/17,20,’·–ìŒ§,2,47,0,0
2020/4/18,20,’·–ìŒ§,0,47,0,0
2020/4/19,20,’·–ìŒ§,5,52,0,0
2020/4/20,20,’·–ìŒ§,0,52,0,0
2020/4/21,20,’·–ìŒ§,2,54,0,0
2020/4/22,20,’·–ìŒ§,5,59,0,0
2020/4/23,20,’·–ìŒ§,3,62,0,0
2020/4/24,20,’·–ìŒ§,3,65,0,0
2020/4/25,20,’·–ìŒ§,1,66,0,0
2020/4/26,20,’·–ìŒ§,0,66,0,0
2020/4/27,20,’·–ìŒ§,0,66,0,0
2020/4/28,20,’·–ìŒ§,0,66,0,0
2020/4/29,20,’·–ìŒ§,0,66,0,0
2020/4/30,20,’·–ìŒ§,0,66,0,0
2020/5/1,20,’·–ìŒ§,0,66,0,0
2020/5/2,20,’·–ìŒ§,4,70,0,0
2020/5/3,20,’·–ìŒ§,0,70,0,0
2020/5/4,20,’·–ìŒ§,2,72,0,0
2020/5/5,20,’·–ìŒ§,0,72,0,0
2020/5/6,20,’·–ìŒ§,1,73,0,0
2020/5/7,20,’·–ìŒ§,0,73,0,0
2020/5/8,20,’·–ìŒ§,1,74,0,0
2020/5/9,20,’·–ìŒ§,1,75,0,0
2020/5/10,20,’·–ìŒ§,0,75,0,0
2020/5/11,20,’·–ìŒ§,0,75,0,0
2020/5/12,20,’·–ìŒ§,0,75,0,0
2020/5/13,20,’·–ìŒ§,1,76,0,0
2020/5/14,20,’·–ìŒ§,0,76,0,0
2020/5/15,20,’·–ìŒ§,0,76,0,0
2020/5/16,20,’·–ìŒ§,0,76,0,0
2020/5/17,20,’·–ìŒ§,0,76,0,0
2020/5/18,20,’·–ìŒ§,0,76,0,0
2020/5/19,20,’·–ìŒ§,0,76,0,0
2020/5/20,20,’·–ìŒ§,0,76,0,0
2020/5/21,20,’·–ìŒ§,0,76,0,0
2020/5/22,20,’·–ìŒ§,0,76,0,0
2020/5/23,20,’·–ìŒ§,0,76,0,0
2020/5/24,20,’·–ìŒ§,0,76,0,0
2020/5/25,20,’·–ìŒ§,0,76,0,0
2020/5/26,20,’·–ìŒ§,0,76,0,0
2020/5/27,20,’·–ìŒ§,0,76,0,0
2020/5/28,20,’·–ìŒ§,0,76,0,0
2020/5/29,20,’·–ìŒ§,0,76,0,0
2020/5/30,20,’·–ìŒ§,0,76,0,0
2020/5/31,20,’·–ìŒ§,0,76,0,0
2020/6/1,20,’·–ìŒ§,0,76,0,0
2020/6/2,20,’·–ìŒ§,0,76,0,0
2020/6/3,20,’·–ìŒ§,0,76,0,0
2020/6/4,20,’·–ìŒ§,0,76,0,0
2020/6/5,20,’·–ìŒ§,0,76,0,0
2020/6/6,20,’·–ìŒ§,0,76,0,0
2020/6/7,20,’·–ìŒ§,0,76,0,0
2020/6/8,20,’·–ìŒ§,0,76,0,0
2020/6/9,20,’·–ìŒ§,0,76,0,0
2020/6/10,20,’·–ìŒ§,0,76,0,0
2020/6/11,20,’·–ìŒ§,0,76,0,0
2020/6/12,20,’·–ìŒ§,0,76,0,0
2020/6/13,20,’·–ìŒ§,0,76,0,0
2020/6/14,20,’·–ìŒ§,0,76,0,0
2020/6/15,20,’·–ìŒ§,0,76,0,0
2020/6/16,20,’·–ìŒ§,0,76,0,0
2020/6/17,20,’·–ìŒ§,0,76,0,0
2020/6/18,20,’·–ìŒ§,0,76,0,0
2020/6/19,20,’·–ìŒ§,1,77,0,0
2020/6/20,20,’·–ìŒ§,0,77,0,0
2020/6/21,20,’·–ìŒ§,0,77,0,0
2020/6/22,20,’·–ìŒ§,0,77,0,0
2020/6/23,20,’·–ìŒ§,0,77,0,0
2020/6/24,20,’·–ìŒ§,0,77,0,0
2020/6/25,20,’·–ìŒ§,0,77,0,0
2020/6/26,20,’·–ìŒ§,0,77,0,0
2020/6/27,20,’·–ìŒ§,0,77,0,0
2020/6/28,20,’·–ìŒ§,0,77,0,0
2020/6/29,20,’·–ìŒ§,0,77,0,0
2020/6/30,20,’·–ìŒ§,0,77,0,0
2020/7/1,20,’·–ìŒ§,0,77,0,0
2020/7/2,20,’·–ìŒ§,0,77,0,0
2020/7/3,20,’·–ìŒ§,0,77,0,0
2020/7/4,20,’·–ìŒ§,0,77,0,0
2020/7/5,20,’·–ìŒ§,0,77,0,0
2020/7/6,20,’·–ìŒ§,0,77,0,0
2020/7/7,20,’·–ìŒ§,0,77,0,0
2020/7/8,20,’·–ìŒ§,0,77,0,0
2020/7/9,20,’·–ìŒ§,0,77,0,0
2020/7/10,20,’·–ìŒ§,0,77,0,0
2020/7/11,20,’·–ìŒ§,0,77,0,0
2020/7/12,20,’·–ìŒ§,1,78,0,0
2020/7/13,20,’·–ìŒ§,1,79,0,0
2020/7/14,20,’·–ìŒ§,0,79,0,0
2020/7/15,20,’·–ìŒ§,1,80,0,0
2020/7/16,20,’·–ìŒ§,1,81,0,0
2020/7/17,20,’·–ìŒ§,2,83,0,0
2020/7/18,20,’·–ìŒ§,1,84,0,0
2020/7/19,20,’·–ìŒ§,0,84,0,0
2020/7/20,20,’·–ìŒ§,2,86,0,0
2020/7/21,20,’·–ìŒ§,0,86,0,0
2020/7/22,20,’·–ìŒ§,0,86,0,0
2020/7/23,20,’·–ìŒ§,0,86,0,0
2020/7/24,20,’·–ìŒ§,1,87,0,0
2020/7/25,20,’·–ìŒ§,1,88,0,0
2020/7/26,20,’·–ìŒ§,4,92,0,0
2020/7/27,20,’·–ìŒ§,0,92,0,0
2020/7/28,20,’·–ìŒ§,6,98,0,0
2020/7/29,20,’·–ìŒ§,4,102,0,0
2020/7/30,20,’·–ìŒ§,1,103,0,0
2020/7/31,20,’·–ìŒ§,2,105,0,0
2020/8/1,20,’·–ìŒ§,6,111,0,0
2020/8/2,20,’·–ìŒ§,6,117,0,0
2020/8/3,20,’·–ìŒ§,2,119,0,0
2020/8/4,20,’·–ìŒ§,3,122,0,0
2020/8/5,20,’·–ìŒ§,3,125,0,0
2020/8/6,20,’·–ìŒ§,1,126,0,0
2020/8/7,20,’·–ìŒ§,1,127,0,0
2020/8/8,20,’·–ìŒ§,0,127,0,0
2020/8/9,20,’·–ìŒ§,4,131,0,0
2020/8/10,20,’·–ìŒ§,1,132,0,0
2020/8/11,20,’·–ìŒ§,2,134,0,0
2020/8/12,20,’·–ìŒ§,5,139,0,0
2020/8/13,20,’·–ìŒ§,1,140,0,0
2020/8/14,20,’·–ìŒ§,5,145,0,0
2020/8/15,20,’·–ìŒ§,3,148,0,0
2020/8/16,20,’·–ìŒ§,0,148,0,0
2020/8/17,20,’·–ìŒ§,1,149,0,0
2020/8/18,20,’·–ìŒ§,1,150,0,0
2020/8/19,20,’·–ìŒ§,2,152,0,0
2020/8/20,20,’·–ìŒ§,2,154,0,0
2020/8/21,20,’·–ìŒ§,9,163,0,0
2020/8/22,20,’·–ìŒ§,6,169,0,0
2020/8/23,20,’·–ìŒ§,3,172,0,0
2020/8/24,20,’·–ìŒ§,11,183,0,0
2020/8/25,20,’·–ìŒ§,2,185,0,0
2020/8/26,20,’·–ìŒ§,9,194,0,0
2020/8/27,20,’·–ìŒ§,6,200,0,0
2020/8/28,20,’·–ìŒ§,19,219,0,0
2020/8/29,20,’·–ìŒ§,18,237,0,0
2020/8/30,20,’·–ìŒ§,12,249,0,0
2020/8/31,20,’·–ìŒ§,7,256,0,0
2020/9/1,20,’·–ìŒ§,5,261,1,1
2020/9/2,20,’·–ìŒ§,7,268,0,1
2020/9/3,20,’·–ìŒ§,12,280,0,1
2020/9/4,20,’·–ìŒ§,4,284,0,1
2020/9/5,20,’·–ìŒ§,2,286,0,1
2020/9/6,20,’·–ìŒ§,1,287,0,1
2020/9/7,20,’·–ìŒ§,3,290,0,1
2020/9/8,20,’·–ìŒ§,2,292,0,1
2020/9/9,20,’·–ìŒ§,1,293,0,1
2020/9/10,20,’·–ìŒ§,2,295,0,1
2020/9/11,20,’·–ìŒ§,1,296,0,1
2020/9/12,20,’·–ìŒ§,0,296,0,1
2020/9/13,20,’·–ìŒ§,0,296,0,1
2020/9/14,20,’·–ìŒ§,0,296,0,1
2020/9/15,20,’·–ìŒ§,1,297,0,1
2020/9/16,20,’·–ìŒ§,2,299,0,1
2020/9/17,20,’·–ìŒ§,0,299,0,1
2020/9/18,20,’·–ìŒ§,0,299,0,1
2020/9/19,20,’·–ìŒ§,2,301,0,1
